nodeName	altName	nodeAttr[nodesPresent, ]
TMSB15B	TMSB15B	green
TNFAIP8	TNFAIP8	green
TNFRSF25	TNFRSF25	green
TRA2B	NA	green
TRAF3IP3	TRAF3IP3	green
TRAPPC2B	NA	green
TRIM41	TRIM41	green
TRMT10C	NA	green
TRMT11	TRMT11	green
TRMT6	TRMT6	green
TRNAU1AP	TRNAU1AP	green
TSPYL5	TSPYL5	green
TTC19	TTC19	green
TWISTNB	TWISTNB	green
TYW3	TYW3	green
UBE2Q2	UBE2Q2	green
UBIAD1	UBIAD1	green
UFSP2	UFSP2	green
UMPS	UMPS	green
UQCRFS1	UQCRFS1	green
UTP3	UTP3	green
UTP6	UTP6	green
VPS13A	VPS13A	green
WDR4	WDR4	green
WDR70	WDR70	green
XYLT2	XYLT2	green
ZDHHC21	ZDHHC21	green
ZHX3	ZHX3	green
ZMYND11	ZMYND11	green
ZNF10	ZNF10	green
ZNF184	ZNF184	green
ZNF268	ZNF268	green
ZNF436	ZNF436	green
ZNF555	ZNF555	green
ZNF567	ZNF567	green
ZNF761	ZNF761	green
ZNF777	ZNF777	green
ZSWIM7	ZSWIM7	green
