nodeName	altName	nodeAttr[nodesPresent, ]
THY1	THY1	red
TIMP3	TIMP3	red
TMEM175	TMEM175	red
TMEM191B	TMEM191B	red
TMEM239	NA	red
TMEM63B	TMEM63B	red
TNFSF8	TNFSF8	red
TNK2	TNK2	red
TNXB	TNXB	red
TPR	TPR	red
TPRG1.AS1	NA	red
TPSG1	TPSG1	red
TRABD2B	NA	red
TRIM35	TRIM35	red
TRIM46	TRIM46	red
TSPYL2	TSPYL2	red
TTBK1	TTBK1	red
TTC9B	TTC9B	red
TYW5	NA	red
UBE2K	UBE2K	red
UBE2O	UBE2O	red
UBL4A	UBL4A	red
UGT2A1	UGT2A1	red
UTS2R	UTS2R	red
VIRMA	NA	red
VWA1	VWA1	red
WDTC1	WDTC1	red
WFDC10B	WFDC10B	red
YIF1B	YIF1B	red
ZNF205	ZNF205	red
ZNF266	ZNF266	red
ZNF330	ZNF330	red
ZNF579	ZNF579	red
ZNF684	ZNF684	red
ZNF700	ZNF700	red
ZNF843	ZNF843	red
