"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"GSM518638",-0.00968098999836942,-0.0767917125758647,0.00659477827871596,-0.0192101664117039,-0.0202992336344104,0.00414260566265183,-0.040105386482422,0.0207303302454008,-0.013275355799948,-0.0201035887980192,0.0326708662011087,0.0469358607347259,-0.0235440943866087,-0.0608460103244957,-0.0037112379033671,0.084355341421301,0.0752730251335585,0.0185245122545388
"GSM518641",0.027225084901229,-0.0910405162583208,0.0722714771369274,0.00781255582495543,-0.00944994952725875,0.00548768998104177,-0.0100402845994693,0.0385322284199821,-0.0164774497798693,0.0275739165343671,-0.046699843116055,0.0875624816990515,-0.00103701438575969,-0.0556099547332538,-0.0183883365829622,-0.0810675253333588,0.060295902412307,0.0448730479283804
"GSM518642",0.0616810730316276,-0.0579325413682573,-0.049598843740837,-0.0113031976992391,0.0108429687878263,0.00712884612351399,-0.0592099565375847,-0.0263434613166126,0.089507092453942,-0.0637991490369335,0.0435774749169586,-0.0023742840628954,-0.0303269133772813,0.0241094935338987,-0.0240962053183146,0.109568109581083,0.0852986591289909,-0.00629523755558986
"GSM518643",0.0818639160145589,-0.0663662293424682,-0.0841357553446789,0.00639663231832562,-0.0121367230065122,-0.00571925691559426,-0.0267389226506666,-0.0705059791120926,-0.0467959153387104,-0.0402496886277258,0.218444723607604,0.0119881663171051,-0.0234643252031366,0.00594233113230213,-0.0517080397797452,0.0719209484036755,0.0945969045699527,-0.00296565821178053
"GSM518644",0.0186663236647813,-0.0739307216357348,-0.0626742884492533,0.001754538390689,0.00968407139524128,0.0232635395238054,0.00218469537448743,0.0464411721316336,0.0413389027980295,-0.0671047967140071,0.0271066168393262,0.00352893701889121,-0.015191096952455,-0.0525139285915504,-0.0657853695092261,0.0247866552664962,0.105710502971878,0.00166745796366766
"GSM518645",-0.0134474553395762,-0.0672155269570175,-0.0488824130061878,-0.0241420903432539,0.00794108102316187,-0.0161437500779484,0.0223059003520172,0.108239338019689,0.0944454819484977,0.00631391372037238,-0.0324915038726804,0.0852887520512356,-0.0318328518366253,-0.0842253586869143,0.0157511043438483,0.018084256364528,0.0820561751128744,0.0186297639098039
"GSM518646",-0.00560199331367679,-0.0821318340500968,0.0777048618074482,-0.0364142723447443,-0.0639721235931636,-0.00808325737014691,-0.0021297403490803,-0.00284648679492402,0.00773828259453686,0.0364764212659161,-0.0194128860422391,0.119902793659813,-0.0153772186553708,-0.0801655727983473,-0.0375276841113159,-0.0309953475118063,0.0346734818115377,0.0547681973428601
"GSM518647",-0.029939412219534,-0.0494911936397654,-0.0645043179593922,0.0280490353814907,0.0360686170478004,-0.00213878160580409,-0.00175935524032516,0.198324892569733,-0.0323030852250858,-0.125832894541027,-0.0217754368067744,-0.0403594316894401,-0.0288281441414265,-0.0779982510253807,-0.00496146426297273,0.0204459683025295,0.0999731041961427,-0.0132010029032714
"GSM518648",0.0167143842853619,-0.0501039395808299,-0.00943563609607086,-0.0315918669298334,-0.016409236781025,0.00498102361456628,0.082025382917686,0.0339408166908616,-0.0278279541873667,-0.0535798564105806,-0.0015690522892898,0.0351220291230822,-0.0149703131908048,-0.027225682947992,0.0203765748541672,-0.00113252247804679,0.0461370348481603,0.00208230453661703
"GSM518649",0.0140697891652223,-0.0695148922296817,-0.0189547344352165,-0.0234903973788935,-0.0153870352465593,-0.0186945895592417,-0.0144245180860241,0.0261542457633607,0.0545607813956102,-0.0280155435478475,0.204647630353923,0.0475411965637844,-0.0122815866209867,-0.054156777943596,-0.016587242219854,0.0271843256690815,0.0686968891967726,0.0286089136966147
"GSM518650",0.0199757937572959,-0.0601316243681069,0.0113396183974539,-0.0178878551141061,0.0134020396829339,-0.0249513518934827,-0.043916237962427,0.0742436687230556,0.0244704890576646,-0.0577786144377069,-0.0170281641002091,0.0195333244283357,-0.0217874637366343,-0.0400247689423899,0.00906597522629302,-0.019499197715466,0.0718914370913431,-0.00178559747801955
