nodeName	altName	nodeAttr[nodesPresent, ]
CDCP1	CDCP1	blue
CDH12	CDH12	blue
CDH15	CDH15	blue
CDH7	CDH7	blue
CDHR4	NA	blue
CDHR5	NA	blue
CDK15	NA	blue
CDKN1A	CDKN1A	blue
CDR2L	CDR2L	blue
CDX1	CDX1	blue
CEACAM1	CEACAM1	blue
CEACAM19	CEACAM19	blue
CEACAM5	CEACAM5	blue
CELA1	NA	blue
CELA2B	NA	blue
CELF4	NA	blue
CEND1	CEND1	blue
CENPQ	CENPQ	blue
CEP170	CEP170	blue
CEP44	NA	blue
CFAP46	NA	blue
CFAP97	NA	blue
CFC1	CFC1	blue
CGB2	CGB2	blue
CGB3	NA	blue
CGN	CGN	blue
CH17.340M24.3	NA	blue
CHAC1	CHAC1	blue
CHCHD5	CHCHD5	blue
CHIA	CHIA	blue
CHL1.AS1	NA	blue
CHRDL2	CHRDL2	blue
CHRNA3	CHRNA3	blue
CHRNA7	CHRNA7	blue
CHRNB2	CHRNB2	blue
CHRNB3	CHRNB3	blue
CHST4	CHST4	blue
CHST8	CHST8	blue
CILP2	CILP2	blue
CLCN1	CLCN1	blue
CLCN6	CLCN6	blue
CLCNKA	CLCNKA	blue
CLDN10	CLDN10	blue
CLDN6	CLDN6	blue
CLDN7	CLDN7	blue
CLDN9	CLDN9	blue
CLOCK	CLOCK	blue
CLSTN2	CLSTN2	blue
CNIH4	CNIH4	blue
CNKSR1	CNKSR1	blue
CNKSR2	CNKSR2	blue
CNOT6L	CNOT6L	blue
CNTD2	CNTD2	blue
CNTNAP1	CNTNAP1	blue
CNTNAP5	CNTNAP5	blue
COBL	COBL	blue
COL12A1	COL12A1	blue
COL1A1	COL1A1	blue
COL20A1	COL20A1	blue
COL26A1	NA	blue
COL27A1	COL27A1	blue
COL4A2	COL4A2	blue
COL4A5	COL4A5	blue
COL4A6	COL4A6	blue
COL6A1	COL6A1	blue
COL9A1	COL9A1	blue
COLCA1	NA	blue
COPRS	NA	blue
COQ3	COQ3	blue
CORIN	CORIN	blue
CORO2B	CORO2B	blue
COX4I2	COX4I2	blue
CPA4	CPA4	blue
CPB1	CPB1	blue
CPN1	CPN1	blue
CPNE6	CPNE6	blue
CPNE7	CPNE7	blue
CPO	CPO	blue
CPT1C	CPT1C	blue
CPXM1	CPXM1	blue
CPXM2	CPXM2	blue
CRABP1	CRABP1	blue
CRAMP1	NA	blue
CREG2	CREG2	blue
CRHR1	CRHR1	blue
CRLF2	CRLF2	blue
CRNKL1	CRNKL1	blue
CROCCP3	NA	blue
CRYBA4	CRYBA4	blue
CRYBB3	CRYBB3	blue
CRYGA	CRYGA	blue
CSF1	CSF1	blue
CSH1	CSH1	blue
CSN1S1	CSN1S1	blue
CSNK1G1	CSNK1G1	blue
CSPP1	CSPP1	blue
CST9	CST9	blue
CTHRC1	CTHRC1	blue
CTIF	NA	blue
CTTNBP2NL	CTTNBP2NL	blue
CTXN1	CTXN1	blue
CUL4B	CUL4B	blue
CUZD1	CUZD1	blue
CX3CL1	CX3CL1	blue
CXCL12	CXCL12	blue
CXorf21	CXorf21	blue
CXorf38	CXorf38	blue
CXorf56	CXorf56	blue
CXorf57	CXorf57	blue
CYBRD1	CYBRD1	blue
CYP11B1	CYP11B1	blue
CYP17A1	CYP17A1	blue
CYP24A1	CYP24A1	blue
CYP27B1	CYP27B1	blue
CYP2A13	CYP2A13	blue
CYP2B6	CYP2B6	blue
CYP2F1	CYP2F1	blue
CYP3A43	CYP3A43	blue
CYP46A1	CYP46A1	blue
CYP7A1	CYP7A1	blue
CYP7B1	CYP7B1	blue
DAAM1	DAAM1	blue
DAB1	DAB1	blue
DAB2IP	DAB2IP	blue
DBF4B	DBF4B	blue
DBP	DBP	blue
DCAF7	NA	blue
DCN	DCN	blue
DCST2	DCST2	blue
DCUN1D1	DCUN1D1	blue
DDIT4L	DDIT4L	blue
DDO	DDO	blue
DEC1	NA	blue
DEFB104B	DEFB104B	blue
DEFB123	DEFB123	blue
DEFB129	DEFB129	blue
DENND2A	DENND2A	blue
DENND4A	DENND4A	blue
DENND6B	NA	blue
DGCR8	DGCR8	blue
DGKQ	DGKQ	blue
DGUOK	DGUOK	blue
DHCR24	DHCR24	blue
DHFR	DHFR	blue
DHRS11	DHRS11	blue
DHTKD1	DHTKD1	blue
DIAPH3	DIAPH3	blue
DIO1	DIO1	blue
DIO2	DIO2	blue
DIS3L2	DIS3L2	blue
DISP2	DISP2	blue
DLAT	DLAT	blue
DLG2	DLG2	blue
DLK1	DLK1	blue
DMBX1	DMBX1	blue
DMRTC1	DMRTC1	blue
DNAJB14	DNAJB14	blue
DNAJB3	DNAJB3	blue
DNAJC25	DNAJC25	blue
DNAJC27	DNAJC27	blue
DNAJC5G	DNAJC5G	blue
DNMT3L	DNMT3L	blue
DOC2A	DOC2A	blue
DOK5	DOK5	blue
DOPEY2	DOPEY2	blue
DPEP1	DPEP1	blue
DPP6	DPP6	blue
DPP8	DPP8	blue
DPT	DPT	blue
DRD4	DRD4	blue
DRP2	DRP2	blue
DSCAM	DSCAM	blue
DSCR8	DSCR8	blue
DSG4	DSG4	blue
DST	DST	blue
DUOXA2	DUOXA2	blue
DUSP5P1	NA	blue
DUSP8	DUSP8	blue
DWORF	NA	blue
DYRK1B	DYRK1B	blue
EBI3	EBI3	blue
EDDM3B	NA	blue
EDIL3	EDIL3	blue
EEF1AKMT3	NA	blue
EFHD1	EFHD1	blue
EGFLAM	EGFLAM	blue
EHBP1	EHBP1	blue
EHD2	EHD2	blue
EHF	EHF	blue
EIF4G1	EIF4G1	blue
ELFN2	ELFN2	blue
ELN	ELN	blue
ELOVL3	ELOVL3	blue
EMID1	EMID1	blue
EMILIN1	EMILIN1	blue
ENHO	ENHO	blue
ENOSF1	ENOSF1	blue
ENTPD2	ENTPD2	blue
EPDR1	EPDR1	blue
EPHA5.AS1	NA	blue
EPM2A	EPM2A	blue
ERCC2	ERCC2	blue
ERN1	ERN1	blue
ESAM	ESAM	blue
ESM1	ESM1	blue
ESPL1	ESPL1	blue
ESX1	ESX1	blue
ETFDH	ETFDH	blue
ETV3L	ETV3L	blue
ETV4	ETV4	blue
EVA1B	NA	blue
EVI5L	EVI5L	blue
EXD3	NA	blue
EXOC3L1	NA	blue
EXTL1	EXTL1	blue
EYA2	EYA2	blue
FAIM2	FAIM2	blue
FAM102A	FAM102A	blue
FAM109A	FAM109A	blue
FAM109B	FAM109B	blue
FAM131B	FAM131B	blue
FAM138B	FAM138B	blue
FAM13B	NA	blue
FAM169B	FAM169B	blue
FAM170A	FAM170A	blue
FAM181B	FAM181B	blue
FAM182A	NA	blue
FAM221A	NA	blue
FAM222A	NA	blue
FAM27C	NA	blue
FAM47C	FAM47C	blue
FAM53B	FAM53B	blue
FAM57A	FAM57A	blue
FAM57B	FAM57B	blue
FAM74A4	NA	blue
FANCL	FANCL	blue
FBLN1	FBLN1	blue
FBXL7	FBXL7	blue
FBXO15	FBXO15	blue
FBXO17	FBXO17	blue
FBXO8	FBXO8	blue
FCHSD1	FCHSD1	blue
FCHSD2	FCHSD2	blue
FEV	FEV	blue
FGD1	FGD1	blue
FGD6	FGD6	blue
FGF16	FGF16	blue
FGF19	FGF19	blue
FGF2	FGF2	blue
FGF21	FGF21	blue
FGFR2	FGFR2	blue
FGFRL1	FGFRL1	blue
FGL1	FGL1	blue
FH	FH	blue
FIBCD1	FIBCD1	blue
FIGNL1	FIGNL1	blue
FILNC1	NA	blue
FLJ20021	FLJ20021	blue
FLJ20712	FLJ20712	blue
FLJ36000	FLJ36000	blue
FLJ42627	FLJ42627	blue
FLNB	FLNB	blue
FMO3	FMO3	blue
FN3K	FN3K	blue
FNDC9	NA	blue
FOLR2	FOLR2	blue
FOXA2	FOXA2	blue
FOXA3	FOXA3	blue
FOXD1	FOXD1	blue
FOXE1	FOXE1	blue
FOXE3	FOXE3	blue
FOXG1	FOXG1	blue
FOXK2	FOXK2	blue
FOXL1	FOXL1	blue
FOXP1	FOXP1	blue
FOXRED2	FOXRED2	blue
FRAS1	FRAS1	blue
FRG2	FRG2	blue
FRMD8P1	NA	blue
FRS2	FRS2	blue
FSD1L	FSD1L	blue
FUT11	FUT11	blue
FUT5	FUT5	blue
FXYD2	FXYD2	blue
G6PC3	G6PC3	blue
GABBR1	GABBR1	blue
GABPA	GABPA	blue
GABRA1	GABRA1	blue
GAL3ST2	GAL3ST2	blue
GAL3ST3	GAL3ST3	blue
GAL3ST4	GAL3ST4	blue
GALNT16	NA	blue
GALNT17	NA	blue
GALNT18	NA	blue
GATS	NA	blue
GCFC2	NA	blue
GCM1	GCM1	blue
GDF15	GDF15	blue
GDPD4	GDPD4	blue
GFI1B	GFI1B	blue
GFPT1	GFPT1	blue
GFRA3	GFRA3	blue
GGNBP2	GGNBP2	blue
GHRH	GHRH	blue
GHSR	GHSR	blue
GIGYF1	GIGYF1	blue
GINS3	GINS3	blue
GIP	GIP	blue
GIPC3	GIPC3	blue
GJA9	GJA9	blue
GJB2	GJB2	blue
GJC2	GJC2	blue
GJC3	GJC3	blue
GLCCI1	GLCCI1	blue
GLIDR	NA	blue
GLP2R	GLP2R	blue
GLRX	GLRX	blue
GNG4	GNG4	blue
GNRH2	GNRH2	blue
GON4L	GON4L	blue
GP6	GP6	blue
GPA33	GPA33	blue
GPD1	GPD1	blue
GPHA2	GPHA2	blue
GPHN	GPHN	blue
GPIHBP1	GPIHBP1	blue
GPR142	GPR142	blue
GPR155	GPR155	blue
GPR173	GPR173	blue
GPR182	GPR182	blue
GPR25	GPR25	blue
GPR26	GPR26	blue
GPR31	GPR31	blue
GPR32	GPR32	blue
GPR39	GPR39	blue
GPR45	GPR45	blue
GPR50	GPR50	blue
GPR55	GPR55	blue
GPR62	GPR62	blue
GPR68	GPR68	blue
GPRC5B	GPRC5B	blue
GPRC5C	GPRC5C	blue
GPRC5D	GPRC5D	blue
GRHL3	GRHL3	blue
GRID2	GRID2	blue
GRIK5	GRIK5	blue
GRIN3B	GRIN3B	blue
GRK1	GRK1	blue
GRM5	GRM5	blue
GS1.124K5.11	NA	blue
GSDMC	GSDMC	blue
GSN.AS1	NA	blue
GSTA3	GSTA3	blue
GSTM4	GSTM4	blue
GTDC1	GTDC1	blue
H1FNT	H1FNT	blue
H2AFB2	H2AFB2	blue
H6PD	H6PD	blue
HAAO	HAAO	blue
HABP2	HABP2	blue
HACD1	NA	blue
HAGLR	NA	blue
HAPLN1	HAPLN1	blue
HAPLN4	HAPLN4	blue
