nodeName	altName	nodeAttr[nodesPresent, ]
DCST2	DCST2	brown
DCUN1D1	DCUN1D1	brown
DEFB104B	DEFB104B	brown
DENND2A	DENND2A	brown
DENND6B	NA	brown
DGCR8	DGCR8	brown
DHFR	DHFR	brown
DHRS11	DHRS11	brown
DIDO1	DIDO1	brown
DISP2	DISP2	brown
DLAT	DLAT	brown
DLK1	DLK1	brown
DNAJC14	DNAJC14	brown
DNAJC27	DNAJC27	brown
DNAJC5G	DNAJC5G	brown
DPEP1	DPEP1	brown
DPP6	DPP6	brown
DPP8	DPP8	brown
DPT	DPT	brown
DRD4	DRD4	brown
DRP2	DRP2	brown
DSCR8	DSCR8	brown
DST	DST	brown
DUOXA2	DUOXA2	brown
DUSP5P1	NA	brown
DUSP8	DUSP8	brown
DWORF	NA	brown
DYRK1B	DYRK1B	brown
EBI3	EBI3	brown
EDIL3	EDIL3	brown
EFHD1	EFHD1	brown
EIF4G1	EIF4G1	brown
ELN	ELN	brown
EMID1	EMID1	brown
EMILIN1	EMILIN1	brown
ENHO	ENHO	brown
ENOSF1	ENOSF1	brown
ENTPD2	ENTPD2	brown
EPM2A	EPM2A	brown
ERCC2	ERCC2	brown
ERICH6	NA	brown
ESAM	ESAM	brown
ESX1	ESX1	brown
ETFDH	ETFDH	brown
ETV3L	ETV3L	brown
ETV4	ETV4	brown
EVA1B	NA	brown
EVI5L	EVI5L	brown
EXD3	NA	brown
EXOC3L1	NA	brown
FAIM2	FAIM2	brown
FAM102A	FAM102A	brown
FAM103A1	FAM103A1	brown
FAM109A	FAM109A	brown
FAM109B	FAM109B	brown
FAM169B	FAM169B	brown
FAM170A	FAM170A	brown
FAM181B	FAM181B	brown
FAM182A	NA	brown
FAM219A	NA	brown
FAM221A	NA	brown
FAM222A	NA	brown
FAM47C	FAM47C	brown
FAM57B	FAM57B	brown
FAT2	FAT2	brown
FBXL7	FBXL7	brown
FBXO17	FBXO17	brown
FCHSD2	FCHSD2	brown
FDCSP	NA	brown
FEV	FEV	brown
FGD6	FGD6	brown
FGF19	FGF19	brown
FGFR2	FGFR2	brown
FGFR3	FGFR3	brown
FGFRL1	FGFRL1	brown
FGL1	FGL1	brown
FIBCD1	FIBCD1	brown
FIGNL1	FIGNL1	brown
FLJ20021	FLJ20021	brown
FLJ23867	FLJ23867	brown
FLJ42627	FLJ42627	brown
FLNB	FLNB	brown
FN3K	FN3K	brown
FOXA2	FOXA2	brown
FOXD1	FOXD1	brown
FOXE1	FOXE1	brown
FOXL1	FOXL1	brown
FOXP4	FOXP4	brown
FOXRED2	FOXRED2	brown
FRAS1	FRAS1	brown
FRS2	FRS2	brown
FSD1L	FSD1L	brown
FTMT	FTMT	brown
FUT11	FUT11	brown
FUT5	FUT5	brown
G6PC	G6PC	brown
G6PC3	G6PC3	brown
GABBR1	GABBR1	brown
GAL3ST3	GAL3ST3	brown
GALNT16	NA	brown
GALNT17	NA	brown
GATS	NA	brown
GCFC2	NA	brown
GDF5OS	GDF5OS	brown
GFI1B	GFI1B	brown
GFRA3	GFRA3	brown
GGNBP2	GGNBP2	brown
GHSR	GHSR	brown
GIGYF1	GIGYF1	brown
GIPC3	GIPC3	brown
GLCCI1	GLCCI1	brown
GLIDR	NA	brown
GLRX	GLRX	brown
GNG4	GNG4	brown
GNG8	GNG8	brown
GNRH2	GNRH2	brown
GON4L	GON4L	brown
GPA33	GPA33	brown
GPD1	GPD1	brown
GPHA2	GPHA2	brown
GPIHBP1	GPIHBP1	brown
GPR142	GPR142	brown
GPR155	GPR155	brown
GPR173	GPR173	brown
GPR182	GPR182	brown
GPR25	GPR25	brown
GPR3	GPR3	brown
GPR31	GPR31	brown
GPR32	GPR32	brown
GPR45	GPR45	brown
GPR62	GPR62	brown
GPRC5C	GPRC5C	brown
GPRC5D	GPRC5D	brown
GRHL3	GRHL3	brown
GRID2	GRID2	brown
GRK1	GRK1	brown
GRM5	GRM5	brown
GS1.124K5.11	NA	brown
GSDMC	GSDMC	brown
GSN.AS1	NA	brown
GSTA3	GSTA3	brown
GSTM4	GSTM4	brown
H1FNT	H1FNT	brown
H2AFB2	H2AFB2	brown
H6PD	H6PD	brown
HAVCR1	HAVCR1	brown
HBE1	HBE1	brown
HECTD4	NA	brown
HELZ2	NA	brown
HEPACAM	HEPACAM	brown
HES4	HES4	brown
HGC6.3	HGC6.3	brown
HGFAC	HGFAC	brown
HHLA3	HHLA3	brown
HID1	NA	brown
HLTF	HLTF	brown
HMHB1	HMHB1	brown
HNRNPF	HNRNPF	brown
HOXB13	HOXB13	brown
HOXD13	HOXD13	brown
HPN	HPN	brown
HR	HR	brown
HRC	HRC	brown
HRH3	HRH3	brown
HSF4	HSF4	brown
HSPB8	HSPB8	brown
HUNK	HUNK	brown
ICA1	ICA1	brown
IFT80	IFT80	brown
IFT88	IFT88	brown
IGF1	IGF1	brown
IGF2	IGF2	brown
IGKV2.24	NA	brown
IGLL5	NA	brown
IL17F	IL17F	brown
IL19	IL19	brown
IL1RAPL2	IL1RAPL2	brown
IL37	NA	brown
IL5RA	IL5RA	brown
IL6	IL6	brown
INF2	INF2	brown
INHA	INHA	brown
INHBC	INHBC	brown
INPP5J	INPP5J	brown
INSIG1	INSIG1	brown
INSRR	INSRR	brown
IPO5P1	NA	brown
IRF2BP1	IRF2BP1	brown
IRX1	IRX1	brown
JAK3	JAK3	brown
JAM2	JAM2	brown
JMJD1C.AS1	NA	brown
JOSD2	JOSD2	brown
KCNG4	KCNG4	brown
KCNH1	KCNH1	brown
KCNH2	KCNH2	brown
KCNIP2	KCNIP2	brown
KCNK17	KCNK17	brown
KCNK3	KCNK3	brown
KCTD7	KCTD7	brown
KDELC1	KDELC1	brown
KHDRBS3	KHDRBS3	brown
KIF1A	KIF1A	brown
KIFC3	KIFC3	brown
KISS1	KISS1	brown
KLF15	KLF15	brown
KLHDC10	KLHDC10	brown
KLHL17	KLHL17	brown
KLHL32	KLHL32	brown
KMT2A	NA	brown
KRT32	KRT32	brown
KRT71	KRT71	brown
KRT8	KRT8	brown
KRT85	KRT85	brown
KRTAP10.10	NA	brown
KRTAP11.1	NA	brown
KRTAP13.1	NA	brown
KRTAP13.4	NA	brown
KRTAP2.1	NA	brown
KRTAP2.3	NA	brown
KRTAP4.12	NA	brown
KRTAP6.3	NA	brown
KRTDAP	KRTDAP	brown
LAMB1	LAMB1	brown
LAMC3	LAMC3	brown
LARGE2	NA	brown
LBX2.AS1	NA	brown
LCE3C	LCE3C	brown
LCE4A	LCE4A	brown
LCN12	LCN12	brown
LDB1	LDB1	brown
LDLR	LDLR	brown
LGALS7B	LGALS7B	brown
LIME1	LIME1	brown
LIN7B	LIN7B	brown
LINC00665	NA	brown
LINC00844	NA	brown
LINC01158	NA	brown
LINC01304	NA	brown
LINC01350	NA	brown
LINC01356	NA	brown
LINC01530	NA	brown
LINC01565	NA	brown
LINC01672	NA	brown
LINC02078	NA	brown
LINC02149	NA	brown
LMAN1L	LMAN1L	brown
LMBRD2	LMBRD2	brown
LMNTD2	NA	brown
LMO7DN	NA	brown
LNX1	LNX1	brown
LOC100127955	LOC100127955	brown
LOC100129434	LOC100129434	brown
LOC100240735	NA	brown
LOC100287704	NA	brown
LOC100419920	NA	brown
LOC100505851	NA	brown
LOC100506271	NA	brown
LOC101927502	NA	brown
