nodeName	altName	nodeAttr[nodesPresent, ]
GLT8D2	GLT8D2	grey
GM2A	GM2A	grey
GNGT1	GNGT1	grey
GNRHR	GNRHR	grey
GOLGA6L9	NA	grey
GPATCH8	GPATCH8	grey
GPC5	GPC5	grey
GPR158	GPR158	grey
GPR1.AS	NA	grey
GPR4	GPR4	grey
GREB1	GREB1	grey
GRK4	GRK4	grey
GRK7	GRK7	grey
GRM1	GRM1	grey
GRM4	GRM4	grey
GRPR	GRPR	grey
GSC2	GSC2	grey
GSG1L	GSG1L	grey
GSX2	GSX2	grey
GTF2A1L	GTF2A1L	grey
GTPBP8	GTPBP8	grey
GUCA1B	GUCA1B	grey
HCN1	HCN1	grey
HEPH	HEPH	grey
HEXA.AS1	NA	grey
HFE2	HFE2	grey
HIPK4	HIPK4	grey
HIST1H1B	HIST1H1B	grey
HIST1H2BB	HIST1H2BB	grey
HIST1H2BK	HIST1H2BK	grey
HIST2H2BD	NA	grey
HOXC6	HOXC6	grey
HP	HP	grey
HPD	HPD	grey
HPR	HPR	grey
HPX	HPX	grey
HRCT1	HRCT1	grey
HSD11B2	HSD11B2	grey
HSPA12A	HSPA12A	grey
HTR1E	HTR1E	grey
HTRA3	HTRA3	grey
ID1	ID1	grey
IFNA5	IFNA5	grey
IFNK	IFNK	grey
IGKV1D.8	NA	grey
IGLV6.57	NA	grey
IGSF1	IGSF1	grey
IGSF10	IGSF10	grey
IL12B	IL12B	grey
IL20	IL20	grey
IL21	IL21	grey
IL25	IL25	grey
IL31RA	IL31RA	grey
INSM2	INSM2	grey
IRAK2	IRAK2	grey
ISM2	ISM2	grey
ITGB3	ITGB3	grey
JADE3	NA	grey
JCHAIN	NA	grey
JPH3	JPH3	grey
KBTBD3	KBTBD3	grey
KCNE2	KCNE2	grey
KCNH6	KCNH6	grey
KCNJ4	KCNJ4	grey
KCNK2	KCNK2	grey
KCNMB2.AS1	NA	grey
KDM5D	NA	grey
KDR	KDR	grey
KIF12	KIF12	grey
KIRREL2	KIRREL2	grey
KIRREL3	KIRREL3	grey
KLB	KLB	grey
KLC1	KLC1	grey
KLHL15	KLHL15	grey
KLHL29	KLHL29	grey
KLK10	KLK10	grey
KLK11	KLK11	grey
KLK13	KLK13	grey
KLRC1	KLRC1	grey
KLRC4	KLRC4	grey
KLRG2	KLRG2	grey
KRT12	KRT12	grey
KRT24	KRT24	grey
KRT34	KRT34	grey
KRT36	KRT36	grey
KRT7	KRT7	grey
KRT72	KRT72	grey
KRT75	KRT75	grey
KRT78	KRT78	grey
KRT79	KRT79	grey
KRT82	KRT82	grey
KRTAP4.4	NA	grey
KSR2	KSR2	grey
L3MBTL4	L3MBTL4	grey
LAT2	LAT2	grey
LDLRAD1	LDLRAD1	grey
LELP1	LELP1	grey
LHFPL1	LHFPL1	grey
LHFPL3.AS2	NA	grey
LIN28A	NA	grey
LIN28B	LIN28B	grey
LINC00301	NA	grey
LINC00347	NA	grey
LINC00479	NA	grey
LINC00507	NA	grey
LINC00525	NA	grey
LINC00598	NA	grey
LINC00854	NA	grey
LINC01015	NA	grey
LINC01016	NA	grey
LINC01095	NA	grey
LINC01234	NA	grey
LINC01312	NA	grey
LINC01315	NA	grey
LINC01370	NA	grey
LINC01465	NA	grey
LINC01497	NA	grey
LINC01549	NA	grey
LINC01555	NA	grey
LINC01580	NA	grey
LINC02170	NA	grey
LOC100130264	LOC100130264	grey
LOC100131943	NA	grey
LOC100288069	NA	grey
LOC100506124	NA	grey
LOC100506406	NA	grey
LOC100507388	NA	grey
LOC101927815	NA	grey
LOC101928160	NA	grey
LOC105376671	NA	grey
LOC105377134	NA	grey
LOR	LOR	grey
LRIT2	LRIT2	grey
LRP6	LRP6	grey
LRRC31	LRRC31	grey
LRRC34	LRRC34	grey
LRRC4C	LRRC4C	grey
LRRC58	LRRC58	grey
LRRC8E	LRRC8E	grey
LRRTM2	LRRTM2	grey
LRRTM4	LRRTM4	grey
LTF	LTF	grey
LY6D	LY6D	grey
LY6K	LY6K	grey
LYG2	LYG2	grey
LYPD1	LYPD1	grey
MACC1	MACC1	grey
MAGEA1	MAGEA1	grey
MAGEB3	MAGEB3	grey
MAPRE3	MAPRE3	grey
MBL1P	NA	grey
MCAM	MCAM	grey
MCHR2	MCHR2	grey
MCOLN3	MCOLN3	grey
MCPH1	MCPH1	grey
MEGF11	MEGF11	grey
MEIS3	MEIS3	grey
MGAT3	MGAT3	grey
MGAT4C	MGAT4C	grey
MGC32805	NA	grey
MIP	MIP	grey
MIR7515HG	NA	grey
MMP8	MMP8	grey
MN1	MN1	grey
MOGAT1	MOGAT1	grey
MORN5	MORN5	grey
MOSPD2	MOSPD2	grey
MPIG6B	NA	grey
MRC1	NA	grey
MREG	MREG	grey
MS4A3	MS4A3	grey
MSR1	MSR1	grey
MT1A	MT1A	grey
MT1G	MT1G	grey
MT2A	MT2A	grey
MYL2	MYL2	grey
MYL9	MYL9	grey
MYLK2	MYLK2	grey
NAA35	NA	grey
NANP	NANP	grey
NBPF22P	NBPF22P	grey
NCBP3	NA	grey
NCOA7	NCOA7	grey
NCOR1	NCOR1	grey
NEUROD2	NEUROD2	grey
NEUROD4	NEUROD4	grey
NFKBIZ	NFKBIZ	grey
NMNAT2	NMNAT2	grey
NODAL	NODAL	grey
NOXRED1	NA	grey
NPSA	NPSA	grey
NR2F2.AS1	NA	grey
NRP2	NRP2	grey
NTN1	NTN1	grey
NUDT12	NUDT12	grey
NUFIP1	NUFIP1	grey
NXF2	NXF2	grey
NXN	NXN	grey
NXNL2	NXNL2	grey
NYAP1	NA	grey
OBP2A	OBP2A	grey
OGDHL	OGDHL	grey
OLFM3	OLFM3	grey
OLFM4	OLFM4	grey
OLIG1	OLIG1	grey
OLIG2	OLIG2	grey
OLIG3	OLIG3	grey
OPRM1	OPRM1	grey
OR11G2	OR11G2	grey
OR12D2	OR12D2	grey
OR13C4	OR13C4	grey
OR1F1	OR1F1	grey
OR4N4	OR4N4	grey
OR5I1	OR5I1	grey
OTOR	OTOR	grey
OVCH1.AS1	NA	grey
P3H4	NA	grey
PABPC1	PABPC1	grey
PACRGL	PACRGL	grey
PARD3B	PARD3B	grey
PASD1	PASD1	grey
PCDHB10	PCDHB10	grey
PCDHGA5	PCDHGA5	grey
PCGF3	PCGF3	grey
PCOLCE2	PCOLCE2	grey
PCSK9	PCSK9	grey
PCYT1B	PCYT1B	grey
PDE9A	PDE9A	grey
PDZRN3	PDZRN3	grey
PERM1	NA	grey
PFN2	PFN2	grey
PGBD4	PGBD4	grey
PHACTR3	PHACTR3	grey
PHF24	NA	grey
PHKA1	PHKA1	grey
PHKG1	PHKG1	grey
PITPNM2	PITPNM2	grey
PITPNM3	PITPNM3	grey
PIWIL1	PIWIL1	grey
PIWIL3	PIWIL3	grey
PKD1L1	PKD1L1	grey
PKD2L2	PKD2L2	grey
PKHD1	PKHD1	grey
PLA2G2E	PLA2G2E	grey
PLA2G2F	PLA2G2F	grey
PLCD3	PLCD3	grey
PLCH1	PLCH1	grey
PLG	PLG	grey
PLK4	PLK4	grey
PLN	PLN	grey
PLPPR3	NA	grey
PLXNA2	PLXNA2	grey
PMP22	PMP22	grey
PMS2P3	NA	grey
PODXL2	PODXL2	grey
POF1B	POF1B	grey
POLE2	POLE2	grey
POLR3G	POLR3G	grey
POM121L10P	NA	grey
POTEB3	NA	grey
POU1F1	POU1F1	grey
POU4F1	POU4F1	grey
POU6F2	POU6F2	grey
PPCDC	PPCDC	grey
PPP1R2P9	PPP1R2P9	grey
PRB1	PRB1	grey
PRKAA2	PRKAA2	grey
PRKCE	PRKCE	grey
PRKCI	PRKCI	grey
PRKG1	PRKG1	grey
PRND	PRND	grey
PROS1	PROS1	grey
PROX1	PROX1	grey
PRR18	PRR18	grey
PRR30	NA	grey
PRRG2	PRRG2	grey
PRRX2	PRRX2	grey
PRSS58	NA	grey
PRUNE2	PRUNE2	grey
PSD2	PSD2	grey
PSD2.AS1	NA	grey
PSG4	PSG4	grey
PTF1A	PTF1A	grey
PTGIS	PTGIS	grey
PTPN14	PTPN14	grey
PTPRD.AS1	NA	grey
PTPRG	PTPRG	grey
PURPL	NA	grey
PUS10	PUS10	grey
RAB42	RAB42	grey
RAD9B	RAD9B	grey
RADIL	RADIL	grey
RANBP3L	RANBP3L	grey
RAPGEFL1	RAPGEFL1	grey
RARRES1	RARRES1	grey
RASL10B	RASL10B	grey
RASL11B	RASL11B	grey
RBM22	RBM22	grey
RBMY1E	RBMY1E	grey
RCAN3	RCAN3	grey
RELN	RELN	grey
RESP18	RESP18	grey
RFX1	RFX1	grey
RFX4	RFX4	grey
RGPD2	RGPD2	grey
RGPD5	RGPD5	grey
RGS3	RGS3	grey
RGS7BP	RGS7BP	grey
RHEX	NA	grey
RHOV	RHOV	grey
RIC8B	RIC8B	grey
RIMS1	RIMS1	grey
RNASE7	RNASE7	grey
RNF144A	RNF144A	grey
RNF185	RNF185	grey
RNF186	RNF186	grey
RNF19A	RNF19A	grey
RORA	RORA	grey
RPE65	RPE65	grey
RPS4Y1	RPS4Y1	grey
RTKN2	RTKN2	grey
RTL9	NA	grey
RTP3	RTP3	grey
S100A14	S100A14	grey
S100A7A	S100A7A	grey
S100G	S100G	grey
SALL1	SALL1	grey
SAMD14	SAMD14	grey
SATB2	SATB2	grey
SCGB2A1	SCGB2A1	grey
SCN1B	SCN1B	grey
SCN9A	SCN9A	grey
SCUBE1	SCUBE1	grey
SCUBE2	SCUBE2	grey
SDC4	SDC4	grey
SELE	SELE	grey
SELP	SELP	grey
SEMA6A	SEMA6A	grey
SEMG2	SEMG2	grey
SEPT7	NA	grey
SERPINB7	SERPINB7	grey
